Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1996","1996","kg/ha","39.58","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1997","1997","kg/ha","42.87","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1998","1998","kg/ha","43.61","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1999","1999","kg/ha","44.52","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2000","2000","kg/ha","42.61","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2001","2001","kg/ha","42.69","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2002","2002","kg/ha","41.54","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2003","2003","kg/ha","41.51","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2004","2004","kg/ha","43.16","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2005","2005","kg/ha","45.15","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2006","2006","kg/ha","48.33","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2007","2007","kg/ha","50.04","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2008","2008","kg/ha","50.47","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2009","2009","kg/ha","53.95","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2010","2010","kg/ha","55.46","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2011","2011","kg/ha","57.23","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2012","2012","kg/ha","54.9","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2013","2013","kg/ha","55.64","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2014","2014","kg/ha","56.23","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2015","2015","kg/ha","57.94","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2016","2016","kg/ha","56.51","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2017","2017","kg/ha","57.7","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2018","2018","kg/ha","59.58","Fc","Calculated data"
