Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2002","2002","kg/ha","3.16","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2003","2003","kg/ha","2.58","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2004","2004","kg/ha","2.82","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2005","2005","kg/ha","2.59","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2006","2006","kg/ha","2.59","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2007","2007","kg/ha","2.07","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2008","2008","kg/ha","1.82","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2009","2009","kg/ha","1.79","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2010","2010","kg/ha","1.63","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2011","2011","kg/ha","2.9","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2012","2012","kg/ha","2.16","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2013","2013","kg/ha","4.41","Fc","Calculated data"
