Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2001","2001","kg/ha","42.17","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2002","2002","kg/ha","40.41","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2003","2003","kg/ha","39.57","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2004","2004","kg/ha","40.51","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2005","2005","kg/ha","35.61","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2006","2006","kg/ha","34.93","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2007","2007","kg/ha","36.04","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2008","2008","kg/ha","34.26","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2009","2009","kg/ha","30.89","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2010","2010","kg/ha","37.81","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2011","2011","kg/ha","34.26","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2012","2012","kg/ha","35.15","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2013","2013","kg/ha","38.66","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2014","2014","kg/ha","43.48","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2015","2015","kg/ha","41.49","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2016","2016","kg/ha","48.53","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2017","2017","kg/ha","48.07","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2018","2018","kg/ha","45.08","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1961","1961","kg/ha","40.4","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1962","1962","kg/ha","36.34","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1963","1963","kg/ha","39.73","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1964","1964","kg/ha","51.37","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1965","1965","kg/ha","54.45","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1966","1966","kg/ha","51.41","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1967","1967","kg/ha","45.61","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1968","1968","kg/ha","42.82","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1969","1969","kg/ha","42.75","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1970","1970","kg/ha","40.52","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1971","1971","kg/ha","50.44","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1972","1972","kg/ha","60.52","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1973","1973","kg/ha","82.59","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1974","1974","kg/ha","37.68","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1975","1975","kg/ha","37.17","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1976","1976","kg/ha","50.66","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1977","1977","kg/ha","52.82","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1978","1978","kg/ha","52.64","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1979","1979","kg/ha","52.51","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1980","1980","kg/ha","47.91","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1981","1981","kg/ha","45.12","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1982","1982","kg/ha","39.18","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1983","1983","kg/ha","38.53","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1984","1984","kg/ha","35.16","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1985","1985","kg/ha","32.68","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1986","1986","kg/ha","35.12","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1987","1987","kg/ha","44.48","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1988","1988","kg/ha","46.28","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1989","1989","kg/ha","45.03","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1990","1990","kg/ha","34.07","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1991","1991","kg/ha","39.46","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1992","1992","kg/ha","48.09","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1993","1993","kg/ha","44.89","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1994","1994","kg/ha","51.57","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1995","1995","kg/ha","57.13","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1996","1996","kg/ha","51.19","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1997","1997","kg/ha","52.02","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1998","1998","kg/ha","48.52","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1999","1999","kg/ha","45.73","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2000","2000","kg/ha","46.97","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2001","2001","kg/ha","48.82","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2002","2002","kg/ha","44.81","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2003","2003","kg/ha","43.27","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2004","2004","kg/ha","42.83","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2005","2005","kg/ha","38.96","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2006","2006","kg/ha","40.39","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2007","2007","kg/ha","42.09","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2008","2008","kg/ha","33.86","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2009","2009","kg/ha","23.52","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2010","2010","kg/ha","31.72","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2011","2011","kg/ha","27.44","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2012","2012","kg/ha","27.62","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2013","2013","kg/ha","26.65","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2014","2014","kg/ha","28.11","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2015","2015","kg/ha","29.56","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2016","2016","kg/ha","31.21","Fc","Calculated data"
